Date,region,product_1,product_2,product_3
2021-01-01,Europe,226169,7999,7999
2021-03-01,ICON - LACAN,620,46,46
2021-01-01,Europe,946969,46152,46152
2021-03-01,JAPAC,2191,1950,195
2021-03-01,Europe,967464,47677,47677
2021-05-01,ICON - TMEA,18478,1618,809
2021-02-01,Europe,46030,6436,1609
2021-05-01,Europe,158761,12960,6480
2021-03-01,Europe,3213,9240,330
2021-02-01,Europe,1580,145,145
2021-03-01,Europe,95416,8255,8255
2020-12-01,Europe,705307,8351,8351
2020-12-01,Europe,19022,1782,1782
2020-12-01,Europe,61913,2507,2507
2020-12-01,Europe,31360,1889,1889
2020-12-01,Europe,10613,898,898
2020-12-01,Europe,9259,786,786
2020-12-01,Europe,358512,3359,3359
2020-12-01,Europe,495055,12576,12576
2020-12-01,Europe,129679,1215,1215
2020-12-01,Europe,9736,1852,1852
2020-12-01,Europe,9691,1520,1520
2020-12-01,Europe,19096,357,357
2020-12-01,Europe,23897,303,303
2020-12-01,Europe,55842,1975,1975
2020-12-01,Europe,44120,3586,3586
2020-12-01,Europe,44909,4437,4437
2020-12-01,Europe,333801,77488,77488
2020-12-01,Europe,452250,22735,22735
2020-12-01,Europe,324376,39218,39218
2020-12-01,Europe,460624,96274,96274
2020-12-01,Europe,599291,50773,50773
2020-12-01,Europe,73852,7361,7361
2020-12-01,Europe,381644,10618,10618
2020-12-01,Europe,243726,9901,9901
2020-12-01,Europe,83265,7641,7641
2020-12-01,Europe,58497,4910,4910
2020-12-01,Europe,169161,17698,17698
2020-12-01,Europe,32269,1622,1622
2021-02-01,JAPAC,364967,5851,5851
2021-03-01,JAPAC,499024,9143,9143
2021-04-01,Europe,8165,1965,393
2020-12-01,Europe,238848,2691,2691
2020-12-01,Europe,23764,6586,6586
2021-04-01,US,745814,130850,13085
2021-01-01,US,474113,3871,3871
2021-03-01,Europe,259636,52512,13128
2021-01-01,Europe,653742,15960,532
2021-03-01,ICON - TMEA,122654,202496,3616
2021-01-01,Europe,21484,35728,1276
2021-02-01,Europe,1127941,54951,54951
2021-03-01,Europe,3001,958,958
2021-02-01,Europe,4014,8456,302
2021-03-01,Europe,306,28,7
2021-04-01,Europe,294209,66004,16501
2021-01-01,Europe,22964,1944,486
2021-05-01,Europe,1254911,61078,30539
2021-02-01,US,9208882,224115,224115
2021-02-01,Europe,230978,32296,8074
2020-12-01,Europe,55511,93828,1117
2021-02-01,ICON - LACAN,155308,4961,4961
2021-05-01,Europe,64815,86128,1538
2021-01-01,ICON - TMEA,597,30,30
2020-12-01,JAPAC,86394,1628,1628
2021-04-01,ICON - TMEA,179325,47490,9498
2021-02-01,Europe,1087338,53209,53209
2021-02-01,Europe,4638,38,38
2021-04-01,US,13142815,121812,121812
2021-02-01,JAPAC,19174,382,382
2021-02-01,ICON - TMEA,63104,15320,3064
2021-03-01,Europe,105859,1175,1175
2021-03-01,Europe,22785,726,726
2021-01-01,ICON - TMEA,216085,59932,14983
2021-03-01,Europe,349,162,6
2021-02-01,Europe,32556,4552,1138
2021-05-01,Europe,166566,14123,14123
2021-05-01,Europe,24695,908,908
2020-12-01,Europe,335742,54654,54654
2020-12-01,Europe,122847,3936,3936
2020-12-01,Europe,137462,12747,12747
2020-12-01,Europe,54328,4583,4583
2020-12-01,Europe,67037,8313,8313
2020-12-01,Europe,34665,972,972
2020-12-01,Europe,3513,1171,1171
2020-12-01,Europe,1134,317,317
2020-12-01,Europe,158235,36768,36768
2020-12-01,Europe,187817,39173,39173
2020-12-01,Europe,133151,21558,21558
2020-12-01,Europe,62607,8756,8756
2020-12-01,Europe,55010,6638,6638
2020-12-01,Europe,1521,205,205
2020-12-01,Europe,34306,1390,1390
2020-12-01,Europe,67228,2154,2154
2020-12-01,Europe,131899,6631,6631
2020-12-01,Europe,2156090,20201,20201
2020-12-01,Europe,564116,5285,5285
2020-12-01,Europe,178720,16217,16217
2020-12-01,Europe,33678,7176,7176
2020-12-01,Europe,44159,7216,7216
2020-12-01,Europe,225984,21171,21171
2020-12-01,Europe,41701,6610,6610
2020-12-01,Europe,8334,1009,1009
2020-12-01,Europe,70046,6792,6792
2020-12-01,Europe,776646,16710,16710
2020-12-01,Europe,223617,1504,1504
2020-12-01,Europe,316380,6815,6815
2020-12-01,Europe,34694,742,742
2020-12-01,Europe,48959,1036,1036
2020-12-01,Europe,50896,14431,14431
2020-12-01,Europe,11430,2787,2787
2020-12-01,Europe,3962,1019,1019
2020-12-01,Europe,5541,1571,1571
2020-12-01,Europe,11283,3199,3199
2020-12-01,Europe,312475,11078,11078
2020-12-01,Europe,266301,6486,6486
2020-12-01,Europe,7273,163,163
2020-12-01,Europe,88414,3127,3127
2020-12-01,Europe,39466,2284,2284
2020-12-01,Europe,207055,7323,7323
2020-12-01,Europe,132244,3490,3490
2020-12-01,Europe,34960,1266,1266
2020-12-01,Europe,338831,12193,12193
2020-12-01,Europe,86784,2086,2086
2020-12-01,Europe,468096,40751,40751
2020-12-01,Europe,1639790,87144,87144
2020-12-01,Europe,93173,8181,8181
2020-12-01,Europe,1086344,95536,95536
2020-12-01,Europe,173585,1338,1338
2020-12-01,Europe,79823,4687,4687
2020-12-01,Europe,261159,10862,10862
2020-12-01,Europe,252968,10151,10151
2020-12-01,Europe,90066,3728,3728
2020-12-01,Europe,200862,2342,2342
2020-12-01,Europe,544002,6287,6287
2020-12-01,Europe,573106,6560,6560
2020-12-01,Europe,2368343,52874,52874
2020-12-01,Europe,942084,45889,45889
2020-12-01,Europe,39551,1916,1916
2020-12-01,Europe,338066,7911,7911
2020-12-01,Europe,1226702,59692,59692
2020-12-01,Europe,19918,1359,1359
2020-12-01,Europe,71567,2293,2293
2020-12-01,Europe,20276,1019,1019
2020-12-01,Europe,80292,3251,3251
2020-12-01,Europe,77833,2162,2162
2020-12-01,Europe,12472,505,505
2020-12-01,Europe,41773,1162,1162
2020-12-01,Europe,17269,869,869
2020-12-01,Europe,21011,2539,2539
2020-12-01,Europe,23663,1190,1190
2020-12-01,Europe,8671,811,811
2020-12-01,Europe,20063,2092,2092
2020-12-01,Europe,45257,2274,2274
2020-12-01,Europe,40699,1304,1304
2020-12-01,Europe,36278,1823,1823
2020-12-01,Europe,7153,1524,1524
2020-12-01,Europe,6407,856,856
2020-12-01,Europe,52992,4016,4016
2020-12-01,Europe,12545,2050,2050
2020-12-01,Europe,45761,4665,4665
2020-12-01,Europe,9559,1562,1562
2020-12-01,Europe,38093,1893,1893
2020-12-01,Europe,5079,806,806
2020-12-01,Europe,3623,772,772
2020-12-01,Europe,248183,5346,5346
2020-12-01,Europe,386016,8315,8315
2020-12-01,Europe,76324,1770,1770
2020-12-01,Europe,60593,2143,2143
2020-12-01,Europe,59952,1481,1481
2020-12-01,Europe,156391,1963,1963
2020-12-01,Europe,130854,1620,1620
2020-12-01,Europe,57709,2041,2041
2020-12-01,Europe,20435,458,458
2020-12-01,Europe,1087000,95363,95363
2020-12-01,Europe,418037,36563,36563
2020-12-01,Europe,307281,15975,15975
2020-12-01,Europe,384732,18569,18569
2020-12-01,Europe,39981,1652,1652
2020-12-01,Europe,129728,1439,1439
2020-12-01,Europe,30688,1211,1211
2020-12-01,Europe,78818,3273,3273
2020-12-01,Europe,58934,2455,2455
2020-12-01,Europe,231240,2565,2565
2020-12-01,Europe,18096,735,735
2020-12-01,Europe,44265,491,491
2020-12-01,Europe,706400,20555,20555
2020-12-01,Europe,160271,7811,7811
2020-12-01,Europe,17841,3721,3721
2020-12-01,Europe,5477,1818,1818
2020-12-01,Europe,28713,6657,6657
2020-12-01,Europe,32603,6800,6800
2020-12-01,Europe,31447,5104,5104
2020-12-01,Europe,18834,2638,2638
2020-12-01,Europe,17978,2177,2177
2020-12-01,Europe,3715,119,119
2020-12-01,Europe,8071,2677,2677
2020-12-01,Europe,58809,16187,16187
2020-12-01,Europe,57471,13202,13202
2020-12-01,Europe,48249,9972,9972
2020-12-01,Europe,60295,9693,9693
2020-12-01,Europe,61263,16984,16984
2020-12-01,Europe,24252,5621,5621
2020-12-01,Europe,11068,2071,2071
2020-12-01,Europe,14414,2346,2346
2020-12-01,Europe,8142,1140,1140
2020-12-01,Europe,181162,5802,5802
2020-12-01,Europe,185086,5158,5158
2020-12-01,Europe,13889,445,445
2020-12-01,Europe,35404,1779,1779
2020-12-01,Europe,28932,927,927
2020-12-01,Europe,7905,669,669
2020-12-01,Europe,3789,458,458
2020-12-01,Europe,25051,4052,4052
2020-12-01,Europe,22285,714,714
2020-12-01,Europe,23950,3887,3887
2020-12-01,Europe,11757,3892,3892
2020-12-01,Europe,226485,2122,2122
2020-12-01,Europe,8893,664,664
2020-12-01,Europe,2879,594,594
2020-12-01,Europe,7019,1147,1147
2020-12-01,Europe,84445,1819,1819
2020-12-01,Europe,231935,4996,4996
2020-12-01,Europe,101073,2177,2177
2020-12-01,Europe,79422,2053,2053
2020-12-01,Europe,158602,2913,2913
2020-12-01,Europe,242970,21442,21442
2020-12-01,Europe,110877,9755,9755
2020-12-01,Europe,227804,20072,20072
2020-12-01,Europe,278364,24260,24260
2020-12-01,Europe,83422,7422,7422
2020-12-01,Europe,220403,19335,19335
2020-12-01,Europe,142215,12521,12521
2020-12-01,Europe,16371,879,879
2020-12-01,Europe,70054,2693,2693
2020-12-01,Europe,296921,11614,11614
2020-12-01,Europe,167396,6946,6946
2020-12-01,Europe,320453,3837,3837
2020-12-01,Europe,75470,3057,3057
2020-12-01,Europe,266,11,11
2020-12-01,Europe,143732,7005,7005
2020-12-01,Europe,186297,8969,8969
2020-12-01,Europe,14507,707,707
2020-12-01,Europe,4237752,23083,23083
2020-12-01,Europe,132734,6459,6459
2020-12-01,Europe,42689,3738,1869
2020-12-01,Europe,972074,46938,23469
2020-12-01,Europe,592452,48646,24323
2020-12-01,Europe,142917,11636,5818
2020-12-01,Europe,624928,48054,24027
2020-12-01,Europe,340128,22480,11240
2020-12-01,Europe,4425442,361734,180867
2020-12-01,Europe,1374898,66440,33220
2020-12-01,Europe,706533,34184,17092
2020-12-01,Europe,945812,48366,24183
2020-12-01,Europe,419050,33908,16954
2020-12-01,Europe,1045692,50470,25235
2020-12-01,Europe,349382,21788,10894
2020-12-01,Europe,83896,4252,2126
2020-12-01,Europe,214354,10364,5182
2020-12-01,Europe,301039,2355,785
2020-12-01,Europe,959608,46731,15577
2020-12-01,Europe,174467,48352,12088
2020-12-01,Europe,205890,28788,7197
2020-12-01,Europe,21246,2116,529
2020-12-01,Europe,97604,18200,4550
2020-12-01,Europe,141959,56844,14211
2020-12-01,Europe,67030,15536,3884
2020-12-01,Europe,62636,13144,3286
2020-12-01,Europe,30630,4964,1241
2020-12-01,Europe,22974,2776,694
2020-12-01,Europe,29981,4192,1048
2020-12-01,Europe,216325,50084,12521
2020-12-01,Europe,205044,56948,14237
2020-12-01,Europe,109939,20500,5125
2020-12-01,Europe,108795,15212,3803
2020-12-01,Europe,6755,672,168
2020-12-01,Europe,162937,19668,4917
2020-12-01,Europe,264071,49272,12318
2020-12-01,Europe,470968,98216,24554
2020-12-01,Europe,408514,94684,23671
2020-12-01,Europe,425869,68992,17248
2020-12-01,Europe,392038,47360,11840
2020-12-01,Europe,258044,21852,5463
2020-12-01,Europe,36329,860,215
2020-12-01,Europe,74871,2648,662
2020-12-01,Europe,194757,6888,1722
2020-12-01,Europe,76764,6496,1624
2020-12-01,Europe,78114,9436,2359
2020-12-01,Europe,27666,7684,1921
2020-12-01,Europe,43025,9972,2493
2020-12-01,Europe,51904,9692,2423
2020-12-01,Europe,66721,13912,3478
2020-12-01,Europe,93886,7944,1986
2020-12-01,Europe,75977,9168,2292
2020-12-01,Europe,86197,13924,3481
2020-12-01,Europe,37132,6924,1731
2020-12-01,Europe,44906,10408,2602
2020-12-01,Europe,41408,11492,2873
2020-12-01,Europe,19909,6640,1660
2020-12-01,Europe,21880,5040,1260
2020-12-01,Europe,38123,7984,1996
